Catalyst,x,y,z,ddG (% ee)
14_4_4,-11.61674759,15.35591234,0.920802474,0
14_4_5,-11.72126911,15.3023349,0.779582883,0
14_4_6,-11.86022698,15.55411709,0.83907926,0
14_5_1,-13.74555405,14.69272872,-22.06035467,0
14_5_2,-13.72550161,14.44104505,-22.05848107,0
14_5_3,-13.75714242,14.77931495,-22.06691916,0
14_5_4,-13.70515957,14.64698032,-22.0176391,0
14_5_5,-13.78158675,14.42093159,-22.11800993,0
14_5_6,-13.95573464,14.44185922,-22.34528717,0
14_6_1,-21.18321724,9.340293384,-7.055145572,0
14_6_2,-21.12444894,9.155415493,-7.155980477,0
14_6_3,-21.26037544,9.38656114,-7.032545009,0
14_6_4,-21.11864461,9.312597153,-7.051536923,0
14_6_5,-21.21482539,9.154068253,-7.206244148,0
14_6_6,-21.50217114,9.133517745,-7.324072006,0
14_7_1,-15.7192174,9.359608351,-4.125561667,0.324129292
14_7_2,-15.63909332,9.205170547,-4.207072026,0
14_7_3,-15.80979891,9.408130162,-4.104635007,0
14_7_4,-15.6522079,9.321278049,-4.123212425,0
14_7_5,-15.75626864,9.202079869,-4.246753168,0
14_7_6,-16.01654102,9.273647468,-4.335385937,0
14_8_1,-14.46192606,14.492895,-0.814002614,0
14_8_2,-14.41156401,14.33997393,-0.948549086,0
14_8_3,-14.52352868,14.56542299,-0.77362143,0
14_8_4,-14.41413439,14.43370359,-0.832628879,0
14_8_5,-14.50275443,14.39049031,-0.979230773,0
14_8_6,-14.6886955,14.5649204,-1.006082964,0
14_9_1,-15.10314081,34.36514222,16.25475533,0
14_9_2,-37.86067571,9.782471622,-19.7676447,0
14_9_3,-14.75518306,35.67083782,13.52526415,0
14_9_4,-14.82531901,35.56745578,13.47011738,0
14_9_5,-14.54018208,35.81294558,13.24892942,0
14_9_6,-14.2961647,36.04395544,13.60127349,0
15_1_1,-23.7722152,-51.61368044,-40.17966572,1.41892236
15_1_2,-24.69159947,-50.37478523,-40.99916225,1.029686682
15_1_4,50.18507499,33.59828934,20.11833024,1.411224795
15_1_5,-24.42567513,-50.66784653,-40.796167,0
15_1_6,-23.07678271,-52.62828426,-39.37350019,0
15_10_1,2.910253728,-6.870217868,58.97562713,0.246322867
15_10_2,3.166694084,-6.644932076,58.95509443,0
15_10_3,2.960452731,-6.822635458,59.02625124,0
15_10_4,2.958071622,-6.807939333,58.95070064,0.25375159
15_10_5,3.131437504,-6.638910762,59.01070217,0
15_10_6,2.776977855,-7.205384963,59.08305973,0
15_11_1,-10.64583476,-43.98049401,36.52403313,0.404768388
15_11_2,-17.76578327,-54.09439963,16.24593714,0.050967078
15_11_3,-24.53423513,-54.4878689,-4.432085985,0
15_11_4,-16.88461817,-53.33725425,19.02382142,0
15_11_5,0.757814253,-29.63240189,49.24027112,0
15_11_6,-7.306369807,-38.85335907,42.39585965,0
15_2_1,-13.90340655,-26.81977912,36.87733262,0.319033211
15_2_2,-13.94613135,-26.94171955,36.7133645,0.634990272
15_2_4,-13.79944079,-26.61128912,37.00440036,0.360143576
15_2_5,-13.79891163,-26.76210486,36.9285874,0
15_2_6,-13.67239626,-26.76192895,37.22470139,0
15_3_1,60.73814065,19.15962883,29.09415077,0.055714899
15_3_2,-18.18589097,-37.26115288,-61.3244056,0.074725617
15_3_3,-17.55332878,-38.86215229,-60.65525815,0
15_3_4,-17.42872731,-38.59636997,-60.79126234,0.058089471
15_3_5,0.023282437,-50.38662598,-55.18513828,0
15_3_6,-17.38908616,-38.2227588,-61.16604261,0
15_4_1,-15.30524152,-23.10107268,36.22350608,0
15_4_2,-15.22723449,-23.01866034,36.2029175,0
15_4_3,-15.1184261,-22.83269843,36.49992452,0
15_4_4,-15.82542639,-23.94603078,35.42270535,0
15_4_5,-15.21146693,-23.00336235,36.26690564,0
15_4_6,-15.74845975,-23.9166549,35.67384459,0
15_5_1,-23.64866493,-54.85638329,-52.7062412,0
15_5_2,33.0524122,-15.0223323,67.02743851,0
15_5_3,-24.55163125,-53.38808167,-53.81435363,0
15_5_4,56.88602036,28.06656519,39.93240496,0
15_5_5,-28.91682772,-49.32887057,-55.23876344,0
15_5_6,35.7319498,-13.95718075,66.11580584,0
15_6_1,-23.5077139,-52.39690107,9.106047866,0.36794358
15_6_2,-23.13105495,-52.08416639,10.75459476,0.508901145
15_6_3,-23.89646795,-52.57269496,7.572594032,0
15_6_4,-20.2508004,-49.75996895,20.76446327,0
15_6_5,-23.59689149,-52.41816514,8.635315149,0
15_6_6,-23.08712502,-52.24644871,10.9292697,0
15_7_1,-20.19059349,-43.31753027,21.12349767,0.391533367
15_7_2,-20.03021711,-43.12757563,21.44683396,1.403609478
15_7_3,-19.91097791,-43.09984589,21.87399617,0.514580066
15_7_4,-20.13782243,-43.24116148,21.22451517,0.605725144
15_7_5,-20.8621972,-43.90870487,19.30558891,0
15_7_6,-20.47559053,-43.68566857,20.40797773,0
15_8_1,-18.53696412,-32.02292085,27.72128648,0
15_8_2,-18.03833498,-31.40131648,28.54595495,0
15_8_3,-18.51272202,-32.02237749,27.81743723,0
15_8_4,-18.81725468,-32.27389417,27.18543966,0
15_8_5,-18.12104103,-31.53062201,28.42390258,0
15_8_6,-18.76932925,-32.38971313,27.32225466,0
15_9_1,-24.8381665,-82.18973728,-22.76631661,0
15_9_2,16.23439851,-78.24711105,35.22904943,0
15_9_3,-35.86232637,-75.80186149,-29.24020176,0
15_9_4,-2.613449348,-59.41870874,61.72836956,0
15_9_5,-36.66156449,-76.30605628,-26.44582597,0
15_9_6,-32.61006732,-79.2902058,-23.01885908,0
16_1_1,-29.21313947,20.77721063,-73.0279606,0
16_1_2,-29.19963409,19.28357013,-73.46797416,0
16_1_4,-29.37660144,20.19526962,-73.12518537,0
16_1_5,-29.25349465,20.46455931,-73.07009337,0
16_1_6,-4.358713326,60.63568196,-50.38286359,0
16_10_1,2.98257747,66.55061916,21.58113338,0
16_10_2,3.722247567,65.63243683,24.08783462,0
16_10_3,3.54103782,65.92140164,23.56254701,0
16_10_4,-23.01968841,60.18156159,-31.96073623,0
16_10_5,-21.13044883,61.99505063,-29.4886842,0
16_10_6,3.947984841,65.49426824,24.80937309,0
16_11_1,-8.944570988,62.41799887,-20.29667958,0
16_11_2,-9.179332647,62.18104362,-20.83130807,0
16_11_3,-9.561292468,61.94048662,-21.83529257,0
16_11_4,-10.72210381,60.84337219,-24.50605498,0
16_11_5,-12.03169529,59.59416444,-27.33211599,0
16_11_6,-6.177544383,64.28175435,-13.31535395,0
